
> tax4us-app@0.1.0 dev
> next dev -p 3001

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.5.233:3001
- Environments: .env.local, .env
 GET /api/pipeline/logs 200 in 62ms (compile: 27ms, render: 35ms)
 GET /api/pipeline/logs 200 in 40ms (compile: 23ms, render: 17ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 17ms, render: 27ms)
 GET /api/pipeline/logs 200 in 98ms (compile: 83ms, render: 15ms)
 GET /api/pipeline/logs 200 in 50ms (compile: 36ms, render: 14ms)
 GET /api/pipeline/logs 200 in 59ms (compile: 38ms, render: 21ms)
 GET /api/pipeline/logs 200 in 41ms (compile: 26ms, render: 15ms)
 GET /api/pipeline/logs 200 in 42ms (compile: 27ms, render: 15ms)
 GET /api/pipeline/logs 200 in 69ms (compile: 47ms, render: 23ms)
 GET /api/pipeline/logs 200 in 59ms (compile: 30ms, render: 29ms)
 GET /api/pipeline/logs 200 in 80ms (compile: 34ms, render: 46ms)
 GET /api/pipeline/logs 200 in 82ms (compile: 44ms, render: 38ms)
 GET /api/pipeline/logs 200 in 56ms (compile: 27ms, render: 29ms)
 GET /api/pipeline/logs 200 in 64ms (compile: 37ms, render: 26ms)
 GET /api/pipeline/logs 200 in 54ms (compile: 20ms, render: 35ms)
 GET /api/pipeline/logs 200 in 53ms (compile: 25ms, render: 28ms)
 GET /api/pipeline/logs 200 in 27ms (compile: 13ms, render: 14ms)
 GET /api/pipeline/logs 200 in 50ms (compile: 35ms, render: 15ms)
 GET /api/pipeline/logs 200 in 136ms (compile: 75ms, render: 61ms)
 GET /api/pipeline/logs 200 in 54ms (compile: 17ms, render: 37ms)
 GET /api/pipeline/logs 200 in 43ms (compile: 26ms, render: 17ms)
 GET /api/pipeline/logs 200 in 54ms (compile: 25ms, render: 30ms)
 GET /api/pipeline/logs 200 in 21ms (compile: 8ms, render: 13ms)
